"Vital Statistics
Frequency of Baby Names
From:  Jan 1, 1980  To:  Dec 31, 2021",,,,
Ranking by Gender & Year,First Name,Frequency,Gender,Year
1,Michael,732,Boy,1980
2,Christopher,633,Boy,1980
3,David,537,Boy,1980
4,Jason,526,Boy,1980
5,Ryan,511,Boy,1980
6,Robert,363,Boy,1980
7,James,360,Boy,1980
8,Matthew,336,Boy,1980
9,Daniel,311,Boy,1980
10,Kevin,305,Boy,1980
11,Justin,270,Boy,1980
12,Scott,237,Boy,1980
13,John,228,Boy,1980
14,Mark,225,Boy,1980
15,Jeffrey,223,Boy,1980
16,Adam,222,Boy,1980
17,Bradley,217,Boy,1980
18,Steven,210,Boy,1980
19,Andrew,207,Boy,1980
19,Tyler,207,Boy,1980
21,Jonathan,203,Boy,1980
22,Travis,171,Boy,1980
23,Trevor,168,Boy,1980
24,Timothy,166,Boy,1980
25,Jeremy,165,Boy,1980
26,William,163,Boy,1980
27,Joshua,162,Boy,1980
28,Chad,156,Boy,1980
28,Richard,156,Boy,1980
30,Nathan,154,Boy,1980
31,Jesse,148,Boy,1980
32,Joseph,147,Boy,1980
32,Nicholas,147,Boy,1980
32,Stephen,147,Boy,1980
35,Aaron,145,Boy,1980
36,Curtis,138,Boy,1980
37,Derek,133,Boy,1980
37,Shawn,133,Boy,1980
39,Dustin,132,Boy,1980
40,Benjamin,130,Boy,1980
41,Thomas,128,Boy,1980
42,Brian,127,Boy,1980
42,Paul,127,Boy,1980
44,Cory,126,Boy,1980
44,Eric,126,Boy,1980
46,Shaun,123,Boy,1980
47,Shane,122,Boy,1980
48,Sean,121,Boy,1980
49,Gregory,116,Boy,1980
50,Kyle,110,Boy,1980
51,Peter,104,Boy,1980
52,Darren,102,Boy,1980
53,Colin,100,Boy,1980
54,Patrick,99,Boy,1980
55,Craig,97,Boy,1980
56,Jordan,90,Boy,1980
57,Kenneth,85,Boy,1980
58,Brent,84,Boy,1980
59,Douglas,80,Boy,1980
59,Ian,80,Boy,1980
61,Anthony,77,Boy,1980
61,Cameron,77,Boy,1980
63,Clayton,71,Boy,1980
64,Brett,69,Boy,1980
64,Kelly,69,Boy,1980
66,Keith,68,Boy,1980
67,Jamie,66,Boy,1980
68,Clinton,65,Boy,1980
68,Corey,65,Boy,1980
70,Joel,64,Boy,1980
71,Jeffery,63,Boy,1980
72,Cody,59,Boy,1980
72,Wesley,59,Boy,1980
74,Neil,58,Boy,1980
75,Donald,57,Boy,1980
75,Lee,57,Boy,1980
77,Troy,56,Boy,1980
